iter	Logloss
0	0.4322929475
1	0.3594854361
2	0.2931682295
3	0.2760473787
4	0.2642854251
5	0.2571558609
6	0.2513660123
7	0.2469363659
8	0.2427394965
9	0.2404325109
10	0.2344735045
11	0.231031113
12	0.2276460179
13	0.2266054245
14	0.2229009321
15	0.2199006268
16	0.217899763
17	0.2144832445
18	0.210549523
19	0.2090158878
20	0.2067515294
21	0.2059689966
22	0.2056108455
23	0.2050339612
24	0.2031304561
25	0.2012566567
26	0.19783626
27	0.1971764429
28	0.1947649384
29	0.1934310777
30	0.1930872741
31	0.1927304588
32	0.1924706358
33	0.1922816386
34	0.1921381603
35	0.1917989241
36	0.1916534014
37	0.1914996649
38	0.1912670853
39	0.191187981
40	0.1910390923
41	0.1909235613
42	0.1905382007
43	0.188252246
44	0.187121628
45	0.1856701447
46	0.184190861
47	0.1840252751
48	0.182640141
49	0.1812821333
50	0.1795789117
51	0.1782759386
52	0.1781250077
53	0.1768126889
54	0.1748742687
55	0.1740179902
56	0.1733002828
57	0.1727367535
58	0.1722657395
59	0.1721238806
60	0.1718245991
61	0.1716985039
62	0.1715920201
63	0.1714903154
64	0.170395648
65	0.1690862453
66	0.1682861456
67	0.1682080389
68	0.167951855
69	0.167554335
70	0.1674506279
71	0.167366643
72	0.1673171465
73	0.1672531766
74	0.1671410516
75	0.1670670414
76	0.1668972586
77	0.1665340835
78	0.1657255439
79	0.1656292507
80	0.1654606375
81	0.1647342205
82	0.1639376412
83	0.1638178722
84	0.1637589019
85	0.1637002011
86	0.1635001558
87	0.1628802595
88	0.1622432123
89	0.1614849086
90	0.1611505939
91	0.1607603931
92	0.1606878955
93	0.1600197167
94	0.1590962585
95	0.1590320006
96	0.1586873151
97	0.1581222457
98	0.1570345889
99	0.1563575814
100	0.1563130719
101	0.1562364565
102	0.1561909183
103	0.1561484931
104	0.1558969069
105	0.1557532748
106	0.1555076329
107	0.1548287392
108	0.1538573383
109	0.153468653
110	0.1533452552
111	0.1528711967
112	0.1526113729
113	0.1525087949
114	0.1524650896
115	0.1521579254
116	0.1518185363
117	0.1515107414
118	0.1512780528
119	0.1508529801
120	0.1505034218
121	0.1504673737
122	0.1504234099
123	0.149729634
124	0.1494398299
125	0.1486043172
126	0.1481636005
127	0.1478122071
128	0.1477084543
129	0.1476654694
130	0.1476159394
131	0.1473844634
132	0.1468305972
133	0.1463407315
134	0.1462224792
135	0.1458776689
136	0.1449078912
137	0.1444155982
138	0.1439679019
139	0.143601774
140	0.1434095548
141	0.1426747747
142	0.1418168236
143	0.1414033645
144	0.1413641756
145	0.1413337636
146	0.1412937679
147	0.140895636
148	0.1401593631
149	0.140130562
150	0.1401021184
151	0.1400741273
152	0.1399265817
153	0.1398802023
154	0.1398499932
155	0.1398168782
156	0.1390700437
157	0.1386071797
158	0.1383553163
159	0.1378898968
160	0.1373927396
161	0.136785219
162	0.136660496
163	0.1362927397
164	0.1361597226
165	0.1357707335
166	0.1357440301
167	0.1357167905
168	0.1356898833
169	0.1356488638
170	0.1354576805
171	0.134240936
172	0.133923618
173	0.1336407702
174	0.13318259
175	0.1329099952
176	0.1328825106
177	0.1327361249
178	0.1322288682
179	0.1316258263
180	0.1315946589
181	0.131243925
182	0.1312162572
183	0.1311366897
184	0.1309323473
185	0.1309159532
186	0.1308851793
187	0.1308504353
188	0.1308214081
189	0.1301608343
190	0.1300843188
191	0.1295879419
192	0.1295454653
193	0.1292632888
194	0.1292318738
195	0.1290166503
196	0.1289259436
197	0.1288390103
198	0.1285024129
199	0.1281818934
